1 6 1 .BH.C..BH.C...AAC.DG.FFFDG.IEE...I.. C99 A96 F98 G99 H96
1 6 1 .BH.C..BH.C.AA..C.DGFFF.DG.IEE...I.. C99 A98 F97 G99 H96
1 6 1 .BH.C..BH.C.DAA.C.D..FFF.G.IEE.G.I.. C99 A97 D99 F98 H96
1 6 1 .BH.C.DBH.C.DAA.C....FFF.G.IEE.G.I.. C99 A97 D98 F98 H96
1 6 1 DBH.C.DBH.C..AA.C....FFF.G.IEE.G.I.. C99 A97 D97 F98 H96
1 6 1 .BH.C..BH.C..AA.C.D.FFF.DG.IEE.G.I.. C99 A97 F97 H96
1 6 1 .BH.C..BH.C..AA.C.DFFF..DG.IEE.G.I.. C99 A97 F96 H96
1 6 1 ..H.C..BH.C..BAAC.D..FFFDG.IEE.G.I.. B99 C99 A96 F98 H96
1 6 1 ..H.C...H.C..BAAC.DB.FFFDG.IEE.G.I.. B98 C99 A96 F98 H96
1 6 1 .BH.C..BH.C.D.AAC.D..FFF.G.IEE.G.I.. C99 A96 D99 F98 H96
1 6 1 .BH.C.DBH.C.D.AAC....FFF.G.IEE.G.I.. C99 A96 D98 F98 H96
1 6 1 DBH.C.DBH.C...AAC....FFF.G.IEE.G.I.. C99 A96 D97 F98 H96
1 6 1 .BH.C..BH.C...AAC.D.FFF.DG.IEE.G.I.. C99 A96 F97 H96
1 6 1 .BH.C..BH.C...AAC.DFFF..DG.IEE.G.I.. C99 A96 F96 H96
1 6 1 .BH.C..BH.C..GAAC.DG.FFFD..IEE...I.. C99 A96 F98 G98 H96
