3 3 0 CCCGG..BBBF...AAF.E.II..E.DDHH...... A98 F99 E99
3 3 0 CCCGG..BBBF.E.AAF.E.II....DDHH...... A98 F99 E98
3 3 0 CCCGG.EBBBF.E.AAF...II....DDHH...... A98 F99 E97
3 3 0 CCCGG..BBBF...AAF...II..EDD.HHE..... A98 F99 D99
3 3 0 CCCGG..BBB....AAF.EII.F.E.DDHH...... A98 I99 E99
3 3 0 CCCGG..BBB..E.AAF.EII.F...DDHH...... A98 I99 E98
3 3 0 CCCGG.EBBB..E.AAF..II.F...DDHH...... A98 I99 E97
3 3 0 CCCGG..BBB....AAF..II.F.EDD.HHE..... A98 I99 D99
3 3 0 CCCGG..BBB....AAF.II..F.EDD.HHE..... A98 I98 D99
3 3 0 CCCGG..BBB....AAF.E.IIF.EDD.HH...... A98 E99 D99
3 3 0 CCCGG..BBB..E.AAF.E.IIF..DD.HH...... A98 E98 D99
3 3 0 CCCGG..BBB..E.AAF.E.IIF.DD..HH...... A98 E98 D98
3 3 0 CCCGG.EBBB..E.AAF.II..F...DDHH...... A98 I98 E97
3 3 0 CCCGG.EBBB..E.AAF...IIF..DD.HH...... A98 E97 D99
3 3 0 CCCGG.EBBB..E.AAF...IIF.DD..HH...... A98 E97 D98
3 3 0 CCCGG..BBB....AAF...IIF.EDDHH.E..... A98 D99 H99
3 3 0 CCCGG..BBBF.AA..F.EII...E.DDHH...... F99 I99 E99
3 3 0 CCCGG..BBBF.AA..F..II...EDD.HHE..... F99 I99 D99
3 3 0 CCCGG..BBBF.AA..F.II....EDD.HHE..... F99 I98 D99
3 3 0 CCCGG..BBBF.AA..F.E..II.E.DDHH...... F99 I99 E99
3 3 0 CCCGG..BBBF.AA..F....II.EDD.HHE..... F99 I99 D99
3 3 0 CCCGG..BBBF.AA..F.E...IIE.DDHH...... F99 I98 E99
3 3 0 CCCGG..BBBF.AA..F.....IIEDD.HHE..... F99 I98 D99
3 3 0 CCCGG..BBBF.AA..F.E.II..EDD.HH...... F99 E99 D99
3 3 0 CCCGG..BBBF.AA..F...II..EDDHH.E..... F99 D99 H99
3 3 0 CCCGG..BBB..AA..F.EII.F.EDD.HH...... I99 E99 D99
3 3 0 CCCGG..BBB..AA..F..II.F.EDDHH.E..... I99 D99 H99
3 3 0 CCCGG..BBB..AA..F.II..F.EDDHH.E..... I98 D99 H99
3 3 0 CCCGG..BBB..AA..F.E.IIF.EDDHH....... E99 D99 H99
4 4 0 .CCCGGBBB....AA.F...IIF.E.DDHHE..... C99 G99 B99 A99
4 4 0 .CCCGGBBB.....AAF...IIF.E.DDHHE..... C99 G99 B99 A98
4 4 0 .CCCGGBBB.F.AA..F...II..E.DDHHE..... C99 G99 B99 F99
4 4 0 .CCCGGBBB...AA..F..II.F.E.DDHHE..... C99 G99 B99 I99
4 4 0 .CCCGGBBB...AA..F.II..F.E.DDHHE..... C99 G99 B99 I98
4 4 0 .CCCGGBBB...AA..F.E.IIF.E.DDHH...... C99 G99 B99 E99
4 4 0 .CCCGGBBB...AA..F...IIF.EDD.HHE..... C99 G99 B99 D99
4 4 0 .CCCGG..BBB..AA.F...IIF.E.DDHHE..... C99 G99 B99 A99
4 4 0 .CCCGG..BBB...AAF...IIF.E.DDHHE..... C99 G99 B99 A98
4 4 0 .CCCGG..BBB.AA..F..II.F.E.DDHHE..... C99 G99 B99 I99
4 4 0 .CCCGG..BBB.AA..F.II..F.E.DDHHE..... C99 G99 B99 I98
4 4 0 .CCCGG..BBB.AA..F.E.IIF.E.DDHH...... C99 G99 B99 E99
4 4 0 .CCCGG..BBB.AA..F...IIF.EDD.HHE..... C99 G99 B99 D99
4 4 0 .CCCGG...BBB.AA.F...IIF.E.DDHHE..... C99 G99 B98 A99
4 4 0 .CCCGG...BBB..AAF...IIF.E.DDHHE..... C99 G99 B98 A98
4 4 0 .CCCGG...BBBAA..F..II.F.E.DDHHE..... C99 G99 B98 I99
4 4 0 .CCCGG...BBBAA..F.II..F.E.DDHHE..... C99 G99 B98 I98
4 4 0 .CCCGG...BBBAA..F.E.IIF.E.DDHH...... C99 G99 B98 E99
4 4 0 .CCCGG...BBBAA..F...IIF.EDD.HHE..... C99 G99 B98 D99
4 4 0 .CCCGG.BBBF..AA.F...II..E.DDHHE..... C99 G99 A99 F99
4 4 0 .CCCGG.BBB...AA.F..II.F.E.DDHHE..... C99 G99 A99 I99
4 4 0 .CCCGG.BBB...AA.F.II..F.E.DDHHE..... C99 G99 A99 I98
4 4 0 .CCCGG.BBB...AA.F.E.IIF.E.DDHH...... C99 G99 A99 E99
4 4 0 .CCCGG.BBB..EAA.F.E.IIF...DDHH...... C99 G99 A99 E98
4 4 0 .CCCGGEBBB..EAA.F...IIF...DDHH...... C99 G99 A99 E97
4 4 0 ECCCGGEBBB...AA.F...IIF...DDHH...... C99 G99 A99 E96
4 4 0 .CCCGG.BBB...AA.F...IIF.EDD.HHE..... C99 G99 A99 D99
4 4 0 .CCCGG.BBBF...AAF...II..E.DDHHE..... C99 G99 A98 F99
4 4 0 .CCCGG.BBB....AAF..II.F.E.DDHHE..... C99 G99 A98 I99
4 4 0 .CCCGG.BBB....AAF.II..F.E.DDHHE..... C99 G99 A98 I98
4 4 0 .CCCGG.BBB....AAF.E.IIF.E.DDHH...... C99 G99 A98 E99
4 4 0 .CCCGG.BBB..E.AAF.E.IIF...DDHH...... C99 G99 A98 E98
4 4 0 .CCCGGEBBB..E.AAF...IIF...DDHH...... C99 G99 A98 E97
4 4 0 ECCCGGEBBB....AAF...IIF...DDHH...... C99 G99 A98 E96
4 4 0 .CCCGG.BBB....AAF...IIF.EDD.HHE..... C99 G99 A98 D99
4 4 0 .CCCGG.BBBF.AA..F..II...E.DDHHE..... C99 G99 F99 I99
4 4 0 .CCCGG.BBBF.AA..F.II....E.DDHHE..... C99 G99 F99 I98
